metric,value,classifier,n_features,elapsed_time,it,dataset
accuracy_score_test,0.3891625615763547,log,23,35.507593393325806,1,thyroid-disease-allbp
accuracy_score_test,0.3817733990147783,mcji,16,106.12457823753357,1,thyroid-disease-allbp
accuracy_score_test,0.5541871921182266,mic,18,93.004953622818,1,thyroid-disease-allbp
accuracy_score_test,0.42610837438423643,log,23,34.85479116439819,2,thyroid-disease-allbp
accuracy_score_test,0.5024630541871922,mcji,11,109.46388363838196,2,thyroid-disease-allbp
accuracy_score_test,0.4827586206896552,mic,18,100.77426338195801,2,thyroid-disease-allbp
accuracy_score_test,0.4839506172839506,log,23,40.03179168701172,3,thyroid-disease-allbp
accuracy_score_test,0.5111111111111111,mcji,16,114.096519947052,3,thyroid-disease-allbp
accuracy_score_test,0.5135802469135803,mic,20,101.70667839050293,3,thyroid-disease-allbp
accuracy_score_test,0.5259259259259259,log,23,40.789358615875244,4,thyroid-disease-allbp
accuracy_score_test,0.5111111111111111,mcji,13,117.18061780929565,4,thyroid-disease-allbp
accuracy_score_test,0.5407407407407407,mic,20,102.82476425170898,4,thyroid-disease-allbp
accuracy_score_test,0.8004509582863585,log,36,6.283014297485352,0,statlog-project-landsat-satellite
accuracy_score_test,0.7948139797068771,mcji,28,68.62664413452148,0,statlog-project-landsat-satellite
accuracy_score_test,0.7970687711386697,mic,32,12.256840705871582,0,statlog-project-landsat-satellite
accuracy_score_test,0.8658399098083427,log,36,6.13401198387146,1,statlog-project-landsat-satellite
accuracy_score_test,0.8692220969560316,mcji,32,63.48962926864624,1,statlog-project-landsat-satellite
accuracy_score_test,0.8534385569334837,mic,18,12.643665313720703,1,statlog-project-landsat-satellite
accuracy_score_test,0.8669673055242391,log,36,6.328573226928711,2,statlog-project-landsat-satellite
accuracy_score_test,0.8523111612175873,mcji,32,46.68012595176697,2,statlog-project-landsat-satellite
accuracy_score_test,0.8703494926719278,mic,32,13.324364423751831,2,statlog-project-landsat-satellite
accuracy_score_test,0.7891770011273957,log,36,6.529682636260986,3,statlog-project-landsat-satellite
accuracy_score_test,0.7857948139797069,mcji,32,42.403398513793945,3,statlog-project-landsat-satellite
accuracy_score_test,0.7891770011273957,mic,18,14.137788772583008,3,statlog-project-landsat-satellite
accuracy_score_test,0.7452085682074409,log,36,6.204192638397217,4,statlog-project-landsat-satellite
accuracy_score_test,0.733934611048478,mcji,32,44.358362913131714,4,statlog-project-landsat-satellite
accuracy_score_test,0.7361894024802705,mic,25,13.825311660766602,4,statlog-project-landsat-satellite
accuracy_score_test,0.5220338983050847,log,12,0.2742166519165039,0,contraceptive-method-choice
accuracy_score_test,0.5186440677966102,mcji,7,3.282820463180542,0,contraceptive-method-choice
accuracy_score_test,0.5288135593220339,mic,9,0.2965109348297119,0,contraceptive-method-choice
accuracy_score_test,0.5220338983050847,log,12,0.21127080917358398,1,contraceptive-method-choice
accuracy_score_test,0.535593220338983,mcji,7,3.5444893836975098,1,contraceptive-method-choice
accuracy_score_test,0.5152542372881356,mic,10,0.278414249420166,1,contraceptive-method-choice
accuracy_score_test,0.5220338983050847,log,12,0.15877032279968262,2,contraceptive-method-choice
accuracy_score_test,0.5288135593220339,mcji,7,2.082162857055664,2,contraceptive-method-choice
accuracy_score_test,0.5016949152542373,mic,7,0.2849457263946533,2,contraceptive-method-choice
accuracy_score_test,0.5204081632653061,log,12,0.14236783981323242,3,contraceptive-method-choice
accuracy_score_test,0.5204081632653061,mcji,10,2.0018391609191895,3,contraceptive-method-choice
accuracy_score_test,0.5,mic,9,0.2584090232849121,3,contraceptive-method-choice
accuracy_score_test,0.48299319727891155,log,12,0.161484956741333,4,contraceptive-method-choice
accuracy_score_test,0.48639455782312924,mcji,6,0.7987279891967773,4,contraceptive-method-choice
accuracy_score_test,0.48299319727891155,mic,9,0.3086984157562256,4,contraceptive-method-choice
accuracy_score_test,0.4781144781144781,log,8,22.556374549865723,0,yeast
accuracy_score_test,0.4882154882154882,mcji,7,51.4496750831604,0,yeast
accuracy_score_test,0.49158249158249157,mic,7,52.40833306312561,0,yeast
accuracy_score_test,0.5016835016835017,log,8,22.02113676071167,1,yeast
accuracy_score_test,0.468013468013468,mcji,7,48.615169525146484,1,yeast
accuracy_score_test,0.41414141414141414,mic,7,53.44738006591797,1,yeast
accuracy_score_test,0.468013468013468,log,8,21.970017433166504,2,yeast
accuracy_score_test,0.5151515151515151,mcji,7,47.714016914367676,2,yeast
accuracy_score_test,0.5185185185185185,mic,7,56.03187346458435,2,yeast
accuracy_score_test,0.46464646464646464,log,8,21.912949323654175,3,yeast
accuracy_score_test,0.5016835016835017,mcji,7,48.95200967788696,3,yeast
accuracy_score_test,0.4781144781144781,mic,7,52.17724919319153,3,yeast
accuracy_score_test,0.47297297297297297,log,8,21.690901517868042,4,yeast
accuracy_score_test,0.5236486486486487,mcji,7,47.055065393447876,4,yeast
accuracy_score_test,0.5135135135135135,mic,7,55.258145332336426,4,yeast
